1. 《调查研究贵在“实”》（8.5，周一）,1.多从事物的底层、本质出发来思考问题，善于“解剖麻雀”，聚焦问题症结、抽丝剥茧、刨根问底，把问题难点堵点剖深辨准。,【公考隔壁班王老师解析：注意里面“解剖麻雀”，简单来说是指通过深入研究具体典型，从中找出事物的规律。因为麻雀虽小，五脏俱全，“解剖麻雀”就是要将调研过程中发现的痛点、堵点、难点问题转化为“麻雀”，通过解剖一只“麻雀”，将“点”上的经验推广到“面”，最终实现在全局中解决现实问题的目的。毛泽东同志在《寻乌调查》《长冈乡调查》《才溪乡调查》等著作中，“解剖麻雀”式调查研究经常体现，很能体现我们写作的专业性，可以记下来。】
1. 《调查研究贵在“实”》（8.5，周一）,2.“做‘透’与做‘秀’，只差一个“走”字，干部不跨进群众门槛，群众就不会把干部记在心坎”。,【公考隔壁班王老师解析：这就通过“透”和“秀”两个字在字形上只差一个“走之旁”的差异，非常生动的表达了群众观点，再加上这句话里面“跨进门坎”和“记在心坎”的对应，不仅是申论大作文，在面试答题的过程中，遇到有关群众路线、基层治理、担当奉献、党建作风等很多话题都可以适用，能给我们的文章和表达增色不少。】
1. 《调查研究贵在“实”》（8.5，周一）,3.“调查研究贵在‘实’”,【公考隔壁班王老师解析：这个文章标题本身也值得积累，可以提炼一下结“……贵在……”，前面一个空格写我们要论述的主题，后面写这个主题里面我们要强调的品质，用来设计文章题目是很好用的，比如“好作风贵在‘廉’”“基层治理贵在‘精准’”“为民办事贵在实效”等等。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,4.随着生活水平不断提升，人们愈发追求精神文化生活的丰富性，在消费中也寄托了独特的精神志趣和审美态度。,【公考隔壁班王老师解析：注意里面“随着生活水平不断提升”，随着时代发展，我们在各个领域的要求都会变得更高，反应在申论、面试的考点里面也会有很多体现。比如，我们遇到有关户外运动、全民健身的话题，就可以说：“随着经济社会发展和生活水平提高，人民群众更加注重身体健康和生活品质，户外运动需求持续释放”；遇到生态环保、绿色发展类话题，就可以说：“随着经济社会发展水平和人民生活水平不断提高，老百姓对良好生态环境的需求越来越高”，等等。刚刚这些例句我都放在了今天pdf讲稿里面，这个思路很常用，需要重点把握。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,5.老字号、老品牌长盛不衰，不能只靠“卖情怀”“卖记忆”。以更高的追求、更严的标准生产产品，不断推陈出新，品牌才会良性发展，国潮才会澎湃不息。,【公考隔壁班王老师解析：有关“老字号”“非遗传承”“非遗品牌”的内容，同样也都是申论面试的重要考点，那遇到这类内容时，刚刚这句话就非常适用，能很好的体现我们思考的全面，可以一并积累下来。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,6.国潮催生新风尚，国货展现新变化，国货推动新发展。,【公考隔壁班王老师解析：依然是说到国潮、国货、中国品牌有关考点话题的不错金句，强调了其重要性，而且里面的“新风尚、新变化、新发展”让语言表达更有气势，可以记下来。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,7.瞄准基层治理“关键词”，扮演好基层治理“关键角色”，打通基层治理“最后一公里”。,【公考隔壁班王老师解析：这里可以提炼一个结构：“瞄准……‘关键词’，扮演好……‘关键角色’，打通……‘最后一公里’”，就可以适用在其他很多话题里面，放在文章的中心论点段做引出来用，效果不错。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,8.“欲筑室者，先治其基”,【公考隔壁班王老师解析：它出自于北宋文学家苏辙的《新论》。其意是说，想要筑造房屋，首先要打好它的地基，强调了基础、基层的重要。与之类似的，还有这篇文章后面的一句：“基层强则国家强，基层安则天下安”，它来自于权威的标准表述，放在所有和社区、基层、群众路线、社会治理等话题里面，效果都是非常不错的，可以记下来。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,9.“上面千条线，下面一根针”,【公考隔壁班王老师解析：这是我们在修饰基层工作的时候，特别常用的一个比喻，形容了基层工作的繁杂琐碎，与之对应的，还有这篇文章里提到的我们的基层干部就要“不断探索提高‘千线’穿‘一针’的本领”，这两句话所使用的比喻方法相同，表现力强，可以记下来，提升文章文采。】
4. 《找对方法，提升效率》（8.8，周四）,10.基层治理，难在末梢。,【公考隔壁班王老师解析：用“末梢”说明了基层工作的细节和难处，强调了它的重要性，与之类似的表述我们在上一篇文章还学过一句，说的是基层工作“上面千条线，下面一根针”，这两句话可以一起记下来。】
4. 《找对方法，提升效率》（8.8，周四）,11.“工欲善其事，必先利其器”,【公考隔壁班王老师解析：它出自于《论语》，指要想做好工作，一定先要把工具整治得锐利精良，比喻要做好事情，必须先做好准备，创造条件。而在这篇文章里面，则把“器”引申为了工作方法。这句话放在各类考点，比如治理、生态、城市、文旅、基层等几乎所有的主题需要强调工作方法时，都可以使用。】
4. 《找对方法，提升效率》（8.8，周四）,12.方法之别，根本在于方向之别。方向失之毫厘，方法就会谬以千里。,【公考隔壁班王老师解析：一语道出了方向的重要性，在做事过程中，先确定好方向极为重要，这个道理在生活中我们都理解，但在公务员考试过程中却往往也是一个知识盲区。实际上，这个角度可以和很多申论面试的考点联系起来，比如回顾党史，不管形势和任务如何变化，不管遇到什么样的惊涛骇浪，我们党都始终把握历史主动，沿着正确方向坚定前行。又比如随着时代发展，不论是社会治理、还是城市发展、文化旅游等各方面的工作，也都需要向着高品质、高质量的方向发展。只有明确方向，才能有的放矢，把功夫下对。】
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,13.“低空载人”新消息不断，展现了城市低空交通的无限可能，也彰显着低空经济发展的广阔前景。,【公考隔壁班王老师解析：这句话可以提炼一下结构，变成：“……新消息不断，展现了……的无限可能，也彰显着……发展的广阔前景”，这句话经常可以放在和新现象、新事物有关的话题里面来用，比如“互联网+”“数字化治理”“户外运动”等等，可以记下来。】
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,14.发展低空经济，离不开市场和政策的“双轮驱动”。,"【公考隔壁班王老师解析：注意""双轮驱动""这个词，它的适用范围也很广，经常用来强调把某两项事业都抓好，比如""坚持改革与法治双轮驱动""""推进文化事业和文化产业双轮驱动""，与之类似的表述还有一个，叫做""......如鸟之两翼、车之两轮""，意思也是一样的。】"
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,15.远方不远，未来已来。,【公考隔壁班王老师解析：表达了对未来的展望，话很短，也比较好记，适合放在文章的开头、结尾段可以做引出来用，推荐重点积累、记忆、把握。】
1. 《调查研究贵在“实”》（8.5，周一）,1.多从事物的底层、本质出发来思考问题，善于“解剖麻雀”，聚焦问题症结、抽丝剥茧、刨根问底，把问题难点堵点剖深辨准。,【公考隔壁班王老师解析：注意里面“解剖麻雀”，简单来说是指通过深入研究具体典型，从中找出事物的规律。因为麻雀虽小，五脏俱全，“解剖麻雀”就是要将调研过程中发现的痛点、堵点、难点问题转化为“麻雀”，通过解剖一只“麻雀”，将“点”上的经验推广到“面”，最终实现在全局中解决现实问题的目的。毛泽东同志在《寻乌调查》《长冈乡调查》《才溪乡调查》等著作中，“解剖麻雀”式调查研究经常体现，很能体现我们写作的专业性，可以记下来。】
1. 《调查研究贵在“实”》（8.5，周一）,2.“做‘透’与做‘秀’，只差一个“走”字，干部不跨进群众门槛，群众就不会把干部记在心坎”。,【公考隔壁班王老师解析：这就通过“透”和“秀”两个字在字形上只差一个“走之旁”的差异，非常生动的表达了群众观点，再加上这句话里面“跨进门坎”和“记在心坎”的对应，不仅是申论大作文，在面试答题的过程中，遇到有关群众路线、基层治理、担当奉献、党建作风等很多话题都可以适用，能给我们的文章和表达增色不少。】
1. 《调查研究贵在“实”》（8.5，周一）,3.“调查研究贵在‘实’”,【公考隔壁班王老师解析：这个文章标题本身也值得积累，可以提炼一下结“……贵在……”，前面一个空格写我们要论述的主题，后面写这个主题里面我们要强调的品质，用来设计文章题目是很好用的，比如“好作风贵在‘廉’”“基层治理贵在‘精准’”“为民办事贵在实效”等等。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,4.随着生活水平不断提升，人们愈发追求精神文化生活的丰富性，在消费中也寄托了独特的精神志趣和审美态度。,【公考隔壁班王老师解析：注意里面“随着生活水平不断提升”，随着时代发展，我们在各个领域的要求都会变得更高，反应在申论、面试的考点里面也会有很多体现。比如，我们遇到有关户外运动、全民健身的话题，就可以说：“随着经济社会发展和生活水平提高，人民群众更加注重身体健康和生活品质，户外运动需求持续释放”；遇到生态环保、绿色发展类话题，就可以说：“随着经济社会发展水平和人民生活水平不断提高，老百姓对良好生态环境的需求越来越高”，等等。刚刚这些例句我都放在了今天pdf讲稿里面，这个思路很常用，需要重点把握。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,5.老字号、老品牌长盛不衰，不能只靠“卖情怀”“卖记忆”。以更高的追求、更严的标准生产产品，不断推陈出新，品牌才会良性发展，国潮才会澎湃不息。,【公考隔壁班王老师解析：有关“老字号”“非遗传承”“非遗品牌”的内容，同样也都是申论面试的重要考点，那遇到这类内容时，刚刚这句话就非常适用，能很好的体现我们思考的全面，可以一并积累下来。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,6.国潮催生新风尚，国货展现新变化，国货推动新发展。,【公考隔壁班王老师解析：依然是说到国潮、国货、中国品牌有关考点话题的不错金句，强调了其重要性，而且里面的“新风尚、新变化、新发展”让语言表达更有气势，可以记下来。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,7.瞄准基层治理“关键词”，扮演好基层治理“关键角色”，打通基层治理“最后一公里”。,【公考隔壁班王老师解析：这里可以提炼一个结构：“瞄准……‘关键词’，扮演好……‘关键角色’，打通……‘最后一公里’”，就可以适用在其他很多话题里面，放在文章的中心论点段做引出来用，效果不错。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,8.“欲筑室者，先治其基”,【公考隔壁班王老师解析：它出自于北宋文学家苏辙的《新论》。其意是说，想要筑造房屋，首先要打好它的地基，强调了基础、基层的重要。与之类似的，还有这篇文章后面的一句：“基层强则国家强，基层安则天下安”，它来自于权威的标准表述，放在所有和社区、基层、群众路线、社会治理等话题里面，效果都是非常不错的，可以记下来。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,9.“上面千条线，下面一根针”,【公考隔壁班王老师解析：这是我们在修饰基层工作的时候，特别常用的一个比喻，形容了基层工作的繁杂琐碎，与之对应的，还有这篇文章里提到的我们的基层干部就要“不断探索提高‘千线’穿‘一针’的本领”，这两句话所使用的比喻方法相同，表现力强，可以记下来，提升文章文采。】
4. 《找对方法，提升效率》（8.8，周四）,10.基层治理，难在末梢。,【公考隔壁班王老师解析：用“末梢”说明了基层工作的细节和难处，强调了它的重要性，与之类似的表述我们在上一篇文章还学过一句，说的是基层工作“上面千条线，下面一根针”，这两句话可以一起记下来。】
4. 《找对方法，提升效率》（8.8，周四）,11.“工欲善其事，必先利其器”,【公考隔壁班王老师解析：它出自于《论语》，指要想做好工作，一定先要把工具整治得锐利精良，比喻要做好事情，必须先做好准备，创造条件。而在这篇文章里面，则把“器”引申为了工作方法。这句话放在各类考点，比如治理、生态、城市、文旅、基层等几乎所有的主题需要强调工作方法时，都可以使用。】
4. 《找对方法，提升效率》（8.8，周四）,12.方法之别，根本在于方向之别。方向失之毫厘，方法就会谬以千里。,【公考隔壁班王老师解析：一语道出了方向的重要性，在做事过程中，先确定好方向极为重要，这个道理在生活中我们都理解，但在公务员考试过程中却往往也是一个知识盲区。实际上，这个角度可以和很多申论面试的考点联系起来，比如回顾党史，不管形势和任务如何变化，不管遇到什么样的惊涛骇浪，我们党都始终把握历史主动，沿着正确方向坚定前行。又比如随着时代发展，不论是社会治理、还是城市发展、文化旅游等各方面的工作，也都需要向着高品质、高质量的方向发展。只有明确方向，才能有的放矢，把功夫下对。】
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,13.“低空载人”新消息不断，展现了城市低空交通的无限可能，也彰显着低空经济发展的广阔前景。,【公考隔壁班王老师解析：这句话可以提炼一下结构，变成：“……新消息不断，展现了……的无限可能，也彰显着……发展的广阔前景”，这句话经常可以放在和新现象、新事物有关的话题里面来用，比如“互联网+”“数字化治理”“户外运动”等等，可以记下来。】
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,14.发展低空经济，离不开市场和政策的“双轮驱动”。,"【公考隔壁班王老师解析：注意""双轮驱动""这个词，它的适用范围也很广，经常用来强调把某两项事业都抓好，比如""坚持改革与法治双轮驱动""""推进文化事业和文化产业双轮驱动""，与之类似的表述还有一个，叫做""......如鸟之两翼、车之两轮""，意思也是一样的。】"
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,15.远方不远，未来已来。,【公考隔壁班王老师解析：表达了对未来的展望，话很短，也比较好记，适合放在文章的开头、结尾段可以做引出来用，推荐重点积累、记忆、把握。】
1. 《调查研究贵在“实”》（8.5，周一）,1.多从事物的底层、本质出发来思考问题，善于“解剖麻雀”，聚焦问题症结、抽丝剥茧、刨根问底，把问题难点堵点剖深辨准。,【公考隔壁班王老师解析：注意里面“解剖麻雀”，简单来说是指通过深入研究具体典型，从中找出事物的规律。因为麻雀虽小，五脏俱全，“解剖麻雀”就是要将调研过程中发现的痛点、堵点、难点问题转化为“麻雀”，通过解剖一只“麻雀”，将“点”上的经验推广到“面”，最终实现在全局中解决现实问题的目的。毛泽东同志在《寻乌调查》《长冈乡调查》《才溪乡调查》等著作中，“解剖麻雀”式调查研究经常体现，很能体现我们写作的专业性，可以记下来。】
1. 《调查研究贵在“实”》（8.5，周一）,2.“做‘透’与做‘秀’，只差一个“走”字，干部不跨进群众门槛，群众就不会把干部记在心坎”。,【公考隔壁班王老师解析：这就通过“透”和“秀”两个字在字形上只差一个“走之旁”的差异，非常生动的表达了群众观点，再加上这句话里面“跨进门坎”和“记在心坎”的对应，不仅是申论大作文，在面试答题的过程中，遇到有关群众路线、基层治理、担当奉献、党建作风等很多话题都可以适用，能给我们的文章和表达增色不少。】
1. 《调查研究贵在“实”》（8.5，周一）,3.“调查研究贵在‘实’”,【公考隔壁班王老师解析：这个文章标题本身也值得积累，可以提炼一下结“……贵在……”，前面一个空格写我们要论述的主题，后面写这个主题里面我们要强调的品质，用来设计文章题目是很好用的，比如“好作风贵在‘廉’”“基层治理贵在‘精准’”“为民办事贵在实效”等等。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,4.随着生活水平不断提升，人们愈发追求精神文化生活的丰富性，在消费中也寄托了独特的精神志趣和审美态度。,【公考隔壁班王老师解析：注意里面“随着生活水平不断提升”，随着时代发展，我们在各个领域的要求都会变得更高，反应在申论、面试的考点里面也会有很多体现。比如，我们遇到有关户外运动、全民健身的话题，就可以说：“随着经济社会发展和生活水平提高，人民群众更加注重身体健康和生活品质，户外运动需求持续释放”；遇到生态环保、绿色发展类话题，就可以说：“随着经济社会发展水平和人民生活水平不断提高，老百姓对良好生态环境的需求越来越高”，等等。刚刚这些例句我都放在了今天pdf讲稿里面，这个思路很常用，需要重点把握。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,5.老字号、老品牌长盛不衰，不能只靠“卖情怀”“卖记忆”。以更高的追求、更严的标准生产产品，不断推陈出新，品牌才会良性发展，国潮才会澎湃不息。,【公考隔壁班王老师解析：有关“老字号”“非遗传承”“非遗品牌”的内容，同样也都是申论面试的重要考点，那遇到这类内容时，刚刚这句话就非常适用，能很好的体现我们思考的全面，可以一并积累下来。】
2. 《国货“潮起来”生活美起来》（8.6，周二）,6.国潮催生新风尚，国货展现新变化，国货推动新发展。,【公考隔壁班王老师解析：依然是说到国潮、国货、中国品牌有关考点话题的不错金句，强调了其重要性，而且里面的“新风尚、新变化、新发展”让语言表达更有气势，可以记下来。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,7.瞄准基层治理“关键词”，扮演好基层治理“关键角色”，打通基层治理“最后一公里”。,【公考隔壁班王老师解析：这里可以提炼一个结构：“瞄准……‘关键词’，扮演好……‘关键角色’，打通……‘最后一公里’”，就可以适用在其他很多话题里面，放在文章的中心论点段做引出来用，效果不错。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,8.“欲筑室者，先治其基”,【公考隔壁班王老师解析：它出自于北宋文学家苏辙的《新论》。其意是说，想要筑造房屋，首先要打好它的地基，强调了基础、基层的重要。与之类似的，还有这篇文章后面的一句：“基层强则国家强，基层安则天下安”，它来自于权威的标准表述，放在所有和社区、基层、群众路线、社会治理等话题里面，效果都是非常不错的，可以记下来。】
3. 《以青春力量激活基层治理一池春水》（8.7，周三）,9.“上面千条线，下面一根针”,【公考隔壁班王老师解析：这是我们在修饰基层工作的时候，特别常用的一个比喻，形容了基层工作的繁杂琐碎，与之对应的，还有这篇文章里提到的我们的基层干部就要“不断探索提高‘千线’穿‘一针’的本领”，这两句话所使用的比喻方法相同，表现力强，可以记下来，提升文章文采。】
4. 《找对方法，提升效率》（8.8，周四）,10.基层治理，难在末梢。,【公考隔壁班王老师解析：用“末梢”说明了基层工作的细节和难处，强调了它的重要性，与之类似的表述我们在上一篇文章还学过一句，说的是基层工作“上面千条线，下面一根针”，这两句话可以一起记下来。】
4. 《找对方法，提升效率》（8.8，周四）,11.“工欲善其事，必先利其器”,【公考隔壁班王老师解析：它出自于《论语》，指要想做好工作，一定先要把工具整治得锐利精良，比喻要做好事情，必须先做好准备，创造条件。而在这篇文章里面，则把“器”引申为了工作方法。这句话放在各类考点，比如治理、生态、城市、文旅、基层等几乎所有的主题需要强调工作方法时，都可以使用。】
4. 《找对方法，提升效率》（8.8，周四）,12.方法之别，根本在于方向之别。方向失之毫厘，方法就会谬以千里。,【公考隔壁班王老师解析：一语道出了方向的重要性，在做事过程中，先确定好方向极为重要，这个道理在生活中我们都理解，但在公务员考试过程中却往往也是一个知识盲区。实际上，这个角度可以和很多申论面试的考点联系起来，比如回顾党史，不管形势和任务如何变化，不管遇到什么样的惊涛骇浪，我们党都始终把握历史主动，沿着正确方向坚定前行。又比如随着时代发展，不论是社会治理、还是城市发展、文化旅游等各方面的工作，也都需要向着高品质、高质量的方向发展。只有明确方向，才能有的放矢，把功夫下对。】
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,13.“低空载人”新消息不断，展现了城市低空交通的无限可能，也彰显着低空经济发展的广阔前景。,【公考隔壁班王老师解析：这句话可以提炼一下结构，变成：“……新消息不断，展现了……的无限可能，也彰显着……发展的广阔前景”，这句话经常可以放在和新现象、新事物有关的话题里面来用，比如“互联网+”“数字化治理”“户外运动”等等，可以记下来。】
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,14.发展低空经济，离不开市场和政策的“双轮驱动”。,"【公考隔壁班王老师解析：注意""双轮驱动""这个词，它的适用范围也很广，经常用来强调把某两项事业都抓好，比如""坚持改革与法治双轮驱动""""推进文化事业和文化产业双轮驱动""，与之类似的表述还有一个，叫做""......如鸟之两翼、车之两轮""，意思也是一样的。】"
5. 《低空经济“振翅高飞”的启示》（8.9，周五）,15.远方不远，未来已来。,【公考隔壁班王老师解析：表达了对未来的展望，话很短，也比较好记，适合放在文章的开头、结尾段可以做引出来用，推荐重点积累、记忆、把握。】
1. 《打通卡点堵点，为发展增动力添活力》（7.29，周一）,1.多方协同、多措并举，山乡“土特产”跨山越海、畅销市场。,【公考隔壁班王老师解析：可以提炼一下结构，变成：“多方协同、多措并举，……跨山越海、畅销市场”，这样一来，放在有关改革、经济、乡村振兴有关的话题和现象里面，都可以使用。】
1. 《打通卡点堵点，为发展增动力添活力》（7.29，周一）,2.用改革的办法破解发展中的问题，把打通卡点堵点、解决痛点难点、回应焦点热点变成工作支点、改革亮点，就能为高质量发展提供新的增长点。,【公考隔壁班王老师解析：虽然是一个长句，但里面使用了对比的写法，就是提到要把“打通卡点堵点、解决痛点难点、回应焦点热点”，变成“工作支点、改革亮点”，同时还要提供新的“增长点”，这就让整句话语势强烈，郎朗上口，表现力强。而且“卡点堵点、解决痛点难点、热点焦点”这些，在有关民生、治理、生态等很多话题都能用得到，因此这句话记下来，是只赚不亏的。】
1. 《打通卡点堵点，为发展增动力添活力》（7.29，周一）,3.“脆李航班”折射新时代改革智慧。,【公考隔壁班王老师解析：可以提炼一下结构，变成：“……折射出……”这个结构可以放在文章中心论点段、过渡段里面做转承、承接使用，前面可以接某一类现象，后面可以接所反映出来的问题或者文章的主旨词。比如我们写乡村振兴，可以说：“农民的身份之变，折射出产业之变、发展之变”，又比如写旅游消费，还可以说：“假期‘花式’出游，折射消费需求之变”，再比如写到党员领导干部的政绩观、奋斗，也可以说：“‘功成不必在我、功成必定有我’，掷地有声的话语，折射新时代共产党人志在千秋伟业的远大追求”，适用范围是很广的，可以记下来。】
2. 《让专业的人发挥专业作用》（7.30，周二）,4.推动乡村全面振兴，关键靠人。,【公考隔壁班王老师解析：这是说到乡村人才的金句，说明了重要性，可以放在文章的开头、结尾段做引出使用。与之类似的还有文章后一句：“他们像一粒粒火种，点燃一个个村庄的发展活力”，这里用“火种”形容“活力”，比喻形象，凸显了年轻人才的作用。两句话意思相近，可以一起积累，增加我们考试的语言变化和表现力。】
2. 《让专业的人发挥专业作用》（7.30，周二）,5.培养壮大一支有活力、有知识、敢拼搏的……队伍，让专业的人发挥专业作用，必能……,【公考隔壁班王老师解析：这个结构可以套用在各领域人才、党员干部相关的话题里，第一个空格填文章的主旨词，第二个空填这样做所能达到的效果，这个结构用在文章的分论点段或结尾段里面都是不错的。】
